"question","phi1","phi2","stationary","root","real","imaginary","modulus"
"1.6",-0.75,-0.3,FALSE,"z1",-0.288795902367588,0,0.288795902367588
"1.6",-0.75,-0.3,FALSE,"z2",1.03879590236759,0,1.03879590236759
