"lambda","theta1_hat","theta2_hat","se_theta1","se_theta2","sigma_hat"
0.99,-107.098187415861,0.0545329737688007,3.83357986315819,0.00189657464607101,0.0232676705835206
0.9,-52.4828617200255,0.0275299015374912,5.13096460379618,0.00253610173658899,0.00624521157620469
0.8,-21.5279731154442,0.0122311470622662,3.53367924966911,0.00174624841509221,0.00145518707508017
0.7,-15.73997849226,0.00937098191934638,4.17646402738032,0.00206375358929139,0.000875676573754786
0.6,-11.3240711688995,0.00718894589226693,5.00740639477959,0.00247426968958124,0.000631322731805618
