"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",9.7732056141779,2.67245190373714,3.6570183360498,0.000355469264467221
"Tdelta",3.42115127100243,0.138571277935323,24.6887473506538,5.6253963395261e-54
"Gv",-0.113110980121877,0.00428079558141914,-26.4228875148435,1.69065794929947e-57
