"question","phi1","phi2","stationary","root","real","imaginary","modulus"
"1.4",0.6,-0.3,TRUE,"z1",0.32449979983984,-2.01948391736579e-28,0.32449979983984
"1.4",0.6,-0.3,TRUE,"z2",-0.92449979983984,2.01948391736579e-28,0.92449979983984
