"i","time","Sigma_ii","weight_wi"
1,"2018-01",1773.29843099768,0.000563920873396018
2,"2018-02",1595.96858789791,0.000626578748217798
3,"2018-03",1436.37172910812,0.000696198609130887
4,"2018-04",1292.73455619731,0.00077355401014543
5,"2018-05",1163.46110057758,0.000859504455717144
68,"2023-08",1.52415790275873,0.6561
69,"2023-09",1.37174211248285,0.729
70,"2023-10",1.23456790123457,0.81
71,"2023-11",1.11111111111111,0.9
72,"2023-12",1,1
