"question","phi1","phi2","stationary","root","real","imaginary","modulus"
"1.5",-0.7,-0.3,FALSE,"z1",-0.3,1.55096364853693e-25,0.3
"1.5",-0.7,-0.3,FALSE,"z2",1,-1.55096364853693e-25,1
