"tdate","Ph_obs","Ph_sim"
2013-02-04 06:00:00,76,75.9573330666468
2013-02-04 07:00:00,74,74.1254774525792
2013-02-04 08:00:00,73,71.9422764412587
2013-02-04 09:00:00,72,71.2919651345063
2013-02-04 10:00:00,71,70.8434246609674
2013-02-04 11:00:00,68,68.2460139557291
2013-02-04 12:00:00,66,66.9695756342472
2013-02-04 13:00:00,65,64.4850003326701
2013-02-04 14:00:00,64,62.0245183374232
2013-02-04 15:00:00,61,58.769753758046
2013-02-04 16:00:00,57,57.0521000336792
2013-02-04 17:00:00,55,48.6312496562716
2013-02-04 18:00:00,64,63.5189741390032
2013-02-04 19:00:00,67,68.5381409304632
2013-02-04 20:00:00,69,71.9453533578211
2013-02-04 21:00:00,72,72.5977125382161
2013-02-04 22:00:00,73,72.5031950713117
2013-02-04 23:00:00,74,73.9583861488349
2013-02-05,74,73.9632905650939
2013-02-05 01:00:00,75,75.1460232516693
2013-02-05 02:00:00,77,76.7849167930282
2013-02-05 03:00:00,78,78.4801945600586
2013-02-05 04:00:00,79,79.6567465275191
2013-02-05 05:00:00,81,80.9291657305032
2013-02-05 06:00:00,81,81.1578663084937
2013-02-05 07:00:00,82,82.0982977271463
2013-02-05 08:00:00,84,85.2730503332142
2013-02-05 09:00:00,86,86.8997333620687
2013-02-05 10:00:00,83,79.0548741616249
2013-02-05 11:00:00,65,63.1949358389656
2013-02-05 12:00:00,46,49.7764276027785
2013-02-05 13:00:00,19,22.9127512132517
2013-02-05 14:00:00,54,52.442935932784
2013-02-05 15:00:00,72,70.562587057679
2013-02-05 16:00:00,61,55.0559531506736
2013-02-05 17:00:00,69,67.2566525905497
2013-02-05 18:00:00,79,77.9843710449549
2013-02-05 19:00:00,84,86.0116950882796
2013-02-05 20:00:00,87,89.1115161292941
2013-02-05 21:00:00,90,89.6761480447587
2013-02-05 22:00:00,93,91.2577910227138
2013-02-05 23:00:00,94,93.5147793810367
2013-02-06,96,94.4068436527583
2013-02-06 01:00:00,96,95.2436073548151
2013-02-06 02:00:00,98,96.2378125551983
2013-02-06 03:00:00,97,96.9096504958179
2013-02-06 04:00:00,97,97.7127952425129
2013-02-06 05:00:00,97,97.271769542757
2013-02-06 06:00:00,97,97.9158122962671
2013-02-06 07:00:00,96,97.5821920361473
2013-02-06 08:00:00,96,97.9903746365145
2013-02-06 09:00:00,95,97.2644491730385
2013-02-06 10:00:00,95,95.4379518575258
2013-02-06 11:00:00,94,94.5001564752189
2013-02-06 12:00:00,93,94.3841429300617
2013-02-06 13:00:00,70,69.3890449722883
2013-02-06 14:00:00,14,2.34655662327096
2013-02-06 15:00:00,31,21.4860683906299
2013-02-06 16:00:00,36,25.5378379580242
2013-02-06 17:00:00,62,63.8021053300402
2013-02-06 18:00:00,73,72.9662369824826
2013-02-06 19:00:00,79,77.6448384444409
2013-02-06 20:00:00,83,81.2930111050353
2013-02-06 21:00:00,86,85.2038729443921
2013-02-06 22:00:00,88,88.2839293395367
2013-02-06 23:00:00,90,90.9067144009003
2013-02-07,92,90.5172917874501
2013-02-07 01:00:00,93,93.3252369182807
2013-02-07 02:00:00,94,94.6586881807435
2013-02-07 03:00:00,94,96.1846789421013
2013-02-07 04:00:00,95,96.0649928165104
2013-02-07 05:00:00,95,96.4485900833424
2013-02-07 06:00:00,96,96.910070022893
2013-02-07 07:00:00,95,97.7953520647999
2013-02-07 08:00:00,96,97.8877916982229
2013-02-07 09:00:00,95,97.3231214044131
2013-02-07 10:00:00,94,95.213655790062
2013-02-07 11:00:00,91,92.3899255472678
2013-02-07 12:00:00,77,75.1160045736129
2013-02-07 13:00:00,50,55.3036616655643
2013-02-07 14:00:00,80,79.1199275259104
2013-02-07 15:00:00,74,80.5565699342007
2013-02-07 16:00:00,82,85.4504479310755
2013-02-07 17:00:00,71,75.9592466543479
2013-02-07 18:00:00,86,88.344385067279
2013-02-07 19:00:00,89,92.8997101402309
2013-02-07 20:00:00,91,94.4469411556997
2013-02-07 21:00:00,93,96.3186954910663
2013-02-07 22:00:00,94,97.4506805248806
2013-02-07 23:00:00,94,97.5405185292455
2013-02-08,95,98.8368829042068
2013-02-08 01:00:00,95,99.2228589328685
2013-02-08 02:00:00,96,99.822445684969
2013-02-08 03:00:00,96,99.9662984959167
2013-02-08 04:00:00,96,100.802782101124
2013-02-08 05:00:00,98,101.089938497924
2013-02-08 06:00:00,97,101.854271989485
2013-02-08 07:00:00,98,101.509007243224
2013-02-08 08:00:00,97,101.693032245399
2013-02-08 09:00:00,97,99.7160537698964
2013-02-08 10:00:00,94,96.8205109150863
2013-02-08 11:00:00,90,93.3347423007544
2013-02-08 12:00:00,76,71.7078990835892
2013-02-08 13:00:00,58,68.6019100074678
2013-02-08 14:00:00,63,63.2254001209348
2013-02-08 15:00:00,21,22.7575597588307
2013-02-08 16:00:00,58,59.1421551342024
